id,p_log,p_logr,p_nn,p_rf,p_rfmi,p_rfms,actual_res,res_log,res_logr,res_nn,res_rf,res_rfmi,res_rfms
19135,0.0514572716559053,0.045534743836910224,0.048916487017650924,0.02724684029813721,0.02127659574468085,0.023809523809523808,0,1,1,1,1,0,1
4982,0.0073321535645575414,0.008551363936956224,0.006401333220235476,0.013743851507235578,0.019230769230769232,0.022058823529411766,0,0,0,0,0,0,0
16644,0.004027725564466154,0.004146435034355594,0.004118974976846036,0.0139710593391381,0.0045045045045045045,0.007407407407407408,0,0,0,0,0,0,0
19118,0.012442869749985003,0.012265724320047864,0.01869960737065298,0.02079906449190012,0.009433962264150943,0.009433962264150943,0,0,0,0,0,0,0
5307,0.009551924244095034,0.010026539718992566,0.005197382587021994,0.017316733827643968,0.013888888888888888,0.008264462809917356,0,0,0,0,0,0,0
231,0.01280644016898992,0.013515188871363286,0.016229903296659885,0.03205807594024399,0.013043478260869565,0.013043478260869565,0,0,0,0,1,0,0
3149,0.030270124047673888,0.037798687697717714,0.01038050218589564,0.02736073813566691,0.017857142857142856,0.017857142857142856,0,1,1,0,1,0,0
11526,0.01342884847782506,0.013530288643087838,0.005035483624212465,0.0161593133241693,0.013422818791946308,0.012295081967213115,0,0,0,0,0,0,0
13673,0.020646069211728034,0.02577728926492765,0.015840946205317077,0.021776500993699353,0.05,0.04807692307692308,0,0,1,0,0,1,1
1625,0.08188618678001047,0.08206444971147876,0.0787673266489362,0.03915314321893462,0.02857142857142857,0.027777777777777776,0,1,1,1,1,1,1
13416,0.025428392345350503,0.03061518447956861,0.01928457525550512,0.023704972312330704,0.09090909090909091,0.05,0,1,1,0,1,1,1
18828,0.004482161606801229,0.005369168853855776,0.003854318141380328,0.013645993825892292,0.008333333333333333,0.007692307692307693,0,0,0,0,0,0,0
18551,0.009160957072750085,0.010522848595796063,0.008025160728120116,0.015051419657273501,0.015625,0.015625,0,0,0,0,0,0,0
5229,0.011240357188815074,0.011276029893599705,0.007919328334012696,0.017316733827643968,0.014018691588785047,0.009174311926605505,0,0,0,0,0,0,0
4624,0.053320736987806046,0.04851259444120623,0.09848189123268959,0.04165595854036356,0.05555555555555555,0.027777777777777776,0,1,1,1,1,1,1
3720,0.030537112767089675,0.03547579808587504,0.04280499825701585,0.02363126048816996,0.02054794520547945,0.01694915254237288,0,1,1,1,1,0,0
11641,0.05637855298556361,0.04960322590645551,0.03135432437020648,0.028190833007371973,0.0410958904109589,0.0410958904109589,1,1,1,1,1,1,1
2462,0.0517928546435103,0.04757500006987452,0.028924141663060735,0.0352695568506169,0.018617021276595744,0.025210084033613446,0,1,1,1,1,0,1
2052,0.03352839791672847,0.03108948969808182,0.022111986639728697,0.041608737365505105,0.01,0.01282051282051282,0,1,1,0,1,0,0
15411,0.00929265186185073,0.010298514137039784,0.011630354898122749,0.016825184508058276,0.0,0.0,0,0,0,0,0,0,0
13291,0.017771535107425337,0.02159537174570597,0.013206681405333738,0.02235039271764386,0.014285714285714285,0.038461538461538464,0,0,0,0,0,0,1
6519,0.02052304898119376,0.018320356829923307,0.0181753947939505,0.018818123934343577,0.023809523809523808,0.018518518518518517,0,0,0,0,0,1,0
769,0.09123988106723482,0.07456106878321477,0.06953053286716016,0.04540865799566149,0.0,0.0,0,1,1,1,1,0,0
19198,0.03975276299891989,0.04000193209761045,0.03581866407674913,0.025975832013665854,0.02,0.025974025974025976,0,1,1,1,1,0,1
16664,0.00644374644204944,0.006451718060177745,0.006144206235421405,0.01769969536081869,0.05,0.03125,0,0,0,0,0,1,1
17115,0.03576960706942967,0.04043012708188995,0.0203806192363309,0.02447295176426649,0.05555555555555555,0.027777777777777776,0,1,1,0,1,1,1
4145,0.07708278499987313,0.083955411527926,0.07545790106490445,0.05259406412258816,0.09734513274336283,0.11235955056179775,0,1,1,1,1,1,1
18897,0.006240048915636396,0.007667595734271797,0.0060427145231720545,0.013866359457291845,0.018617021276595744,0.031746031746031744,0,0,0,0,0,0,1
16560,0.0204047183360592,0.020276169324955726,0.012284007096663713,0.019066152402412846,0.00819672131147541,0.011494252873563218,0,0,0,0,0,0,0
7026,0.012902197604429561,0.015169633832733202,0.03607571176388298,0.01890314921626385,0.08,0.06451612903225806,0,0,0,1,0,1,1
12942,0.017355967885864375,0.02081634463099522,0.024250397804294978,0.02047682948692129,0.013157894736842105,0.013157894736842105,0,0,0,1,0,0,0
5740,0.06862179441129523,0.06825843451118567,0.059836523449161454,0.04087487636430695,0.0,0.0,0,1,1,1,1,0,0
15513,0.021362378170954485,0.0245873659528024,0.007879382284961845,0.018977918048855534,0.017543859649122806,0.017241379310344827,0,0,1,0,0,0,0
13295,0.011178920360787667,0.014608366064618072,0.009377394953270049,0.01712307940066242,0.022222222222222223,0.030303030303030304,0,0,0,0,0,0,1
